AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,10-Nov,Administrative Services and Facilities Managers,broad,"109,590",0.3,28.46,36.85,47.73,62.28,80.51,"59,210","76,650","99,290","129,530","167,450",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,12-Nov,Administrative Services Managers,detailed,"113,030",0.4,28.59,37.05,48.16,63.05,81.21,"59,470","77,070","100,170","131,130","168,910",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-Nov,Facilities Managers,detailed,"101,970",0.5,28.37,35.91,47.08,60.55,77.47,"59,010","74,700","97,930","125,940","161,140",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,20-Nov,Computer and Information Systems Managers,broad,"162,930",0.3,45.78,59.05,76.45,95.56,#,"95,220","122,820","159,010","198,750",#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,21-Nov,Computer and Information Systems Managers,detailed,"162,930",0.3,45.78,59.05,76.45,95.56,#,"95,220","122,820","159,010","198,750",#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,30-Nov,Financial Managers,broad,"153,460",0.3,37.04,47.89,63.32,92.24,#,"77,040","99,620","131,710","191,860",#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-31,Financial Managers,detailed,"153,460",0.3,37.04,47.89,63.32,92.24,#,"77,040","99,620","131,710","191,860",#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-50,Industrial Production Managers,broad,"117,780",0.3,30.84,38.55,49.59,64.49,81.96,"64,150","80,190","103,150","134,130","170,470",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-51,Industrial Production Managers,detailed,"117,780",0.3,30.84,38.55,49.59,64.49,81.96,"64,150","80,190","103,150","134,130","170,470",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-60,Purchasing Managers,broad,"134,590",0.5,37.17,47.46,61.13,78.19,99.3,"77,310","98,720","127,150","162,630","206,540",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-61,Purchasing Managers,detailed,"134,590",0.5,37.17,47.46,61.13,78.19,99.3,"77,310","98,720","127,150","162,630","206,540",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-70,"Transportation, Storage, and Distribution Managers",broad,"105,580",0.6,28.16,36.2,47.22,60.87,78.26,"58,570","75,290","98,230","126,600","162,770",,
