OCC_TITLE,O_GROUP,A_MEAN
Healthcare Support Occupations,major,"33,330"
"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",minor,"30,440"
Home Health and Personal Care Aides,broad,"29,260"
Home Health and Personal Care Aides,detailed,"29,260"
"Nursing Assistants, Orderlies, and Psychiatric Aides",broad,"33,290"
Nursing Assistants,detailed,"33,250"
Orderlies,detailed,"33,440"
Psychiatric Aides,detailed,"34,640"
Occupational Therapy and Physical Therapist Assistants and Aides,minor,"53,900"
Occupational Therapy Assistants and Aides,broad,"61,760"
Occupational Therapy Assistants,detailed,"63,560"
Occupational Therapy Aides,detailed,"39,230"
Physical Therapist Assistants and Aides,broad,"51,280"
Physical Therapist Assistants,detailed,"60,740"
Physical Therapist Aides,detailed,"30,370"
Other Healthcare Support Occupations,minor,"39,360"
Massage Therapists,broad,"49,260"
Massage Therapists,detailed,"49,260"
Miscellaneous Healthcare Support Occupations,broad,"38,860"
Dental Assistants,detailed,"42,510"
Medical Assistants,detailed,"38,190"
Medical Equipment Preparers,detailed,"42,420"
Medical Transcriptionists,detailed,"34,220"
Pharmacy Aides,detailed,"34,560"
Veterinary Assistants and Laboratory Animal Caretakers,detailed,"31,780"
Phlebotomists,detailed,"38,450"
"Healthcare Support Workers, All Other",detailed,"40,690"
Protective Service Occupations,major,"53,420"
Supervisors of Protective Service Workers,minor,"81,010"
First-Line Supervisors of Law Enforcement Workers,broad,"90,110"
First-Line Supervisors of Correctional Officers,detailed,"69,750"
First-Line Supervisors of Police and Detectives,detailed,"98,760"
First-Line Supervisors of Firefighting and Prevention Workers,broad,"83,270"
First-Line Supervisors of Firefighting and Prevention Workers,detailed,"83,270"
"Miscellaneous First-Line Supervisors, Protective Service Workers",broad,"57,730"
First-Line Supervisors of Security Workers,detailed,"55,080"
"First-Line Supervisors of Protective Service Workers, All Other",detailed,"63,910"
Firefighting and Prevention Workers,minor,"55,910"
Firefighters,broad,"55,290"
Firefighters,detailed,"55,290"
Fire Inspectors,broad,"67,230"
Fire Inspectors and Investigators,detailed,"69,680"
Forest Fire Inspectors and Prevention Specialists,detailed,"54,340"
Law Enforcement Workers,minor,"66,370"
"Bailiffs, Correctional Officers, and Jailers",broad,"53,380"
Bailiffs,detailed,"52,340"
Correctional Officers and Jailers,detailed,"53,420"
Detectives and Criminal Investigators,broad,"90,370"
Detectives and Criminal Investigators,detailed,"90,370"
Fish and Game Wardens,broad,"58,190"
Fish and Game Wardens,detailed,"58,190"
Parking Enforcement Workers,broad,"46,050"
Parking Enforcement Workers,detailed,"46,050"
Police Officers,broad,"70,740"
Police and Sheriff's Patrol Officers,detailed,"70,750"
Transit and Railroad Police,detailed,"69,570"
Other Protective Service Workers,minor,"36,280"
Animal Control Workers,broad,"42,620"
Animal Control Workers,detailed,"42,620"
Private Detectives and Investigators,broad,"60,970"
Private Detectives and Investigators,detailed,"60,970"
Security Guards and Gambling Surveillance Officers,broad,"35,860"
Gambling Surveillance Officers and Gambling Investigators,detailed,"38,080"
Security Guards,detailed,"35,830"
Miscellaneous Protective Service Workers,broad,"35,450"
Crossing Guards and Flaggers,detailed,"35,670"
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detailed,"27,320"
Transportation Security Screeners,detailed,"46,380"
School Bus Monitors,detailed,"30,220"
"Protective Service Workers, All Other",detailed,"42,160"
Food Preparation and Serving Related Occupations,major,"29,450"
Supervisors of Food Preparation and Serving Workers,minor,"41,130"
Supervisors of Food Preparation and Serving Workers,broad,"41,130"
Chefs and Head Cooks,detailed,"56,920"
First-Line Supervisors of Food Preparation and Serving Workers,detailed,"39,150"
Cooks and Food Preparation Workers,minor,"29,380"
Cooks,broad,"29,560"
"Cooks, Fast Food",detailed,"25,490"
"Cooks, Institution and Cafeteria",detailed,"31,520"
"Cooks, Private Household",detailed,"43,260"
"Cooks, Restaurant",detailed,"31,630"
"Cooks, Short Order",detailed,"28,110"
"Cooks, All Other",detailed,"33,390"
Food Preparation Workers,broad,"28,810"
Food Preparation Workers,detailed,"28,810"
Food and Beverage Serving Workers,minor,"27,520"
Bartenders,broad,"30,340"
Bartenders,detailed,"30,340"
Fast Food and Counter Workers,broad,"26,060"
Fast Food and Counter Workers,detailed,"26,060"
Waiters and Waitresses,broad,"29,010"
Waiters and Waitresses,detailed,"29,010"
"Food Servers, Nonrestaurant",broad,"29,500"
"Food Servers, Nonrestaurant",detailed,"29,500"
Other Food Preparation and Serving Related Workers,minor,"27,170"
Dining Room and Cafeteria Attendants and Bartender Helpers,broad,"27,690"
Dining Room and Cafeteria Attendants and Bartender Helpers,detailed,"27,690"
Dishwashers,broad,"27,350"
Dishwashers,detailed,"27,350"
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",broad,"26,000"
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detailed,"26,000"
Miscellaneous Food Preparation and Serving Related Workers,broad,"28,760"
"Food Preparation and Serving Related Workers, All Other",detailed,"28,760"
Building and Grounds Cleaning and Maintenance Occupations,major,"33,750"
Supervisors of Building and Grounds Cleaning and Maintenance Workers,minor,"48,620"
First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,broad,"48,620"
First-Line Supervisors of Housekeeping and Janitorial Workers,detailed,"45,100"
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detailed,"53,270"
Building Cleaning and Pest Control Workers,minor,"31,590"
Building Cleaning Workers,broad,"31,310"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,"31,860"
Maids and Housekeeping Cleaners,detailed,"29,580"
"Building Cleaning Workers, All Other",detailed,"38,530"
Pest Control Workers,broad,"40,640"
Pest Control Workers,detailed,"40,640"
Grounds Maintenance Workers,minor,"35,960"
Grounds Maintenance Workers,broad,"35,960"
Landscaping and Groundskeeping Workers,detailed,"35,240"
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",detailed,"40,500"
Tree Trimmers and Pruners,detailed,"47,450"
"Grounds Maintenance Workers, All Other",detailed,"39,120"
Personal Care and Service Occupations,major,"33,620"
Supervisors of Personal Care and Service Workers,minor,"46,950"
First-Line Supervisors of Entertainment and Recreation Workers,broad,"48,370"
First-Line Supervisors of Gambling Services Workers,detailed,"52,590"
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",detailed,"47,130"
First-Line Supervisors of Personal Service Workers,broad,"45,730"
First-Line Supervisors of Personal Service Workers,detailed,"45,730"
Animal Care and Service Workers,minor,"30,100"
Animal Trainers,broad,"38,230"
Animal Trainers,detailed,"38,230"
Animal Caretakers,broad,"29,520"
Animal Caretakers,detailed,"29,520"
Entertainment Attendants and Related Workers,minor,"27,170"
Gambling Services Workers,broad,"29,340"
Gambling Dealers,detailed,"28,960"
Gambling and Sports Book Writers and Runners,detailed,"29,110"
"Gambling Service Workers, All Other",detailed,"31,790"
Motion Picture Projectionists,broad,"32,970"
Motion Picture Projectionists,detailed,"32,970"
"Ushers, Lobby Attendants, and Ticket Takers",broad,"26,390"
"Ushers, Lobby Attendants, and Ticket Takers",detailed,"26,390"
Miscellaneous Entertainment Attendants and Related Workers,broad,"26,650"
Amusement and Recreation Attendants,detailed,"26,110"
Costume Attendants,detailed,"54,590"
"Locker Room, Coatroom, and Dressing Room Attendants",detailed,"30,220"
"Entertainment Attendants and Related Workers, All Other",detailed,"29,680"
Funeral Service Workers,minor,"42,800"
Embalmers and Crematory Operators,broad,"47,350"
Embalmers,detailed,"51,210"
Crematory Operators,detailed,"39,660"
Funeral Attendants,broad,"31,630"
Funeral Attendants,detailed,"31,630"
"Morticians, Undertakers, and Funeral Arrangers",broad,"56,360"
"Morticians, Undertakers, and Funeral Arrangers",detailed,"56,360"
Personal Appearance Workers,minor,"35,350"
"Barbers, Hairdressers, Hairstylists and Cosmetologists",broad,"35,980"
Barbers,detailed,"35,700"
"Hairdressers, Hairstylists, and Cosmetologists",detailed,"35,990"
Miscellaneous Personal Appearance Workers,broad,"34,310"
"Makeup Artists, Theatrical and Performance",detailed,"124,380"
Manicurists and Pedicurists,detailed,"30,480"
Shampooers,detailed,"25,160"
Skincare Specialists,detailed,"41,700"
"Baggage Porters, Bellhops, and Concierges",minor,"34,680"
"Baggage Porters, Bellhops, and Concierges",broad,"34,680"
Baggage Porters and Bellhops,detailed,"30,040"
Concierges,detailed,"37,520"
Tour and Travel Guides,minor,"33,200"
Tour and Travel Guides,broad,"33,200"
Tour and Travel Guides,detailed,"33,200"
Other Personal Care and Service Workers,minor,"33,260"
Childcare Workers,broad,"27,680"
Childcare Workers,detailed,"27,680"
Recreation and Fitness Workers,broad,"38,340"
Exercise Trainers and Group Fitness Instructors,detailed,"45,870"
Recreation Workers,detailed,"32,020"
Residential Advisors,broad,"34,950"
Residential Advisors,detailed,"34,950"
Miscellaneous Personal Care and Service Workers,broad,"30,790"
"Personal Care and Service Workers, All Other",detailed,"30,790"
Sales and Related Occupations,major,"46,080"
Supervisors of Sales Workers,minor,"54,880"
First-Line Supervisors of Sales Workers,broad,"54,880"
First-Line Supervisors of Retail Sales Workers,detailed,"46,890"
First-Line Supervisors of Non-Retail Sales Workers,detailed,"92,320"
Retail Sales Workers,minor,"30,060"
Cashiers,broad,"26,780"
Cashiers,detailed,"26,770"
Gambling Change Persons and Booth Cashiers,detailed,"29,130"
Counter and Rental Clerks and Parts Salespersons,broad,"36,480"
Counter and Rental Clerks,detailed,"36,170"
Parts Salespersons,detailed,"36,920"
Retail Salespersons,broad,"31,920"
Retail Salespersons,detailed,"31,920"
"Sales Representatives, Services",minor,"74,770"
Advertising Sales Agents,broad,"66,540"
Advertising Sales Agents,detailed,"66,540"
Insurance Sales Agents,broad,"69,340"
Insurance Sales Agents,detailed,"69,340"
"Securities, Commodities, and Financial Services Sales Agents",broad,"93,260"
"Securities, Commodities, and Financial Services Sales Agents",detailed,"93,260"
Travel Agents,broad,"46,580"
Travel Agents,detailed,"46,580"
"Miscellaneous Sales Representatives, Services",broad,"71,110"
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",detailed,"71,110"
"Sales Representatives, Wholesale and Manufacturing",minor,"77,750"
"Sales Representatives, Wholesale and Manufacturing",broad,"77,750"
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed,"102,750"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,"72,390"
Other Sales and Related Workers,minor,"53,580"
"Models, Demonstrators, and Product Promoters",broad,"39,550"
Demonstrators and Product Promoters,detailed,"36,990"
Models,detailed,*
Real Estate Brokers and Sales Agents,broad,"66,880"
Real Estate Brokers,detailed,"86,490"
Real Estate Sales Agents,detailed,"61,480"
Sales Engineers,broad,"118,630"
Sales Engineers,detailed,"118,630"
Telemarketers,broad,"30,670"
Telemarketers,detailed,"30,670"
Miscellaneous Sales and Related Workers,broad,"38,720"
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",detailed,"34,970"
"Sales and Related Workers, All Other",detailed,"38,840"
Office and Administrative Support Occupations,major,"43,430"
Supervisors of Office and Administrative Support Workers,minor,"63,380"
First-Line Supervisors of Office and Administrative Support Workers,broad,"63,380"
First-Line Supervisors of Office and Administrative Support Workers,detailed,"63,380"
Communications Equipment Operators,minor,"35,310"
"Switchboard Operators, Including Answering Service",broad,"34,590"
"Switchboard Operators, Including Answering Service",detailed,"34,590"
Telephone Operators,broad,"39,370"
Telephone Operators,detailed,"39,370"
Miscellaneous Communications Equipment Operators,broad,"49,470"
"Communications Equipment Operators, All Other",detailed,"49,470"
Financial Clerks,minor,"43,340"
Bill and Account Collectors,broad,"41,280"
Bill and Account Collectors,detailed,"41,280"
Billing and Posting Clerks,broad,"42,750"
Billing and Posting Clerks,detailed,"42,750"
"Bookkeeping, Accounting, and Auditing Clerks",broad,"45,140"
"Bookkeeping, Accounting, and Auditing Clerks",detailed,"45,140"
Gambling Cage Workers,broad,"30,770"
Gambling Cage Workers,detailed,"30,770"
Payroll and Timekeeping Clerks,broad,"49,560"
Payroll and Timekeeping Clerks,detailed,"49,560"
Procurement Clerks,broad,"44,930"
Procurement Clerks,detailed,"44,930"
Tellers,broad,"34,930"
Tellers,detailed,"34,930"
Miscellaneous Financial Clerks,broad,"47,830"
"Financial Clerks, All Other",detailed,"47,830"
Information and Record Clerks,minor,"38,670"
Brokerage Clerks,broad,"57,710"
Brokerage Clerks,detailed,"57,710"
Correspondence Clerks,broad,"41,710"
Correspondence Clerks,detailed,"41,710"
"Court, Municipal, and License Clerks",broad,"44,870"
"Court, Municipal, and License Clerks",detailed,"44,870"
"Credit Authorizers, Checkers, and Clerks",broad,"44,540"
"Credit Authorizers, Checkers, and Clerks",detailed,"44,540"
Customer Service Representatives,broad,"39,070"
Customer Service Representatives,detailed,"39,070"
"Eligibility Interviewers, Government Programs",broad,"48,570"
"Eligibility Interviewers, Government Programs",detailed,"48,570"
File Clerks,broad,"36,820"
File Clerks,detailed,"36,820"
"Hotel, Motel, and Resort Desk Clerks",broad,"28,040"
"Hotel, Motel, and Resort Desk Clerks",detailed,"28,040"
"Interviewers, Except Eligibility and Loan",broad,"38,840"
"Interviewers, Except Eligibility and Loan",detailed,"38,840"
"Library Assistants, Clerical",broad,"32,490"
"Library Assistants, Clerical",detailed,"32,490"
Loan Interviewers and Clerks,broad,"44,910"
Loan Interviewers and Clerks,detailed,"44,910"
New Accounts Clerks,broad,"41,250"
New Accounts Clerks,detailed,"41,250"
Order Clerks,broad,"41,820"
Order Clerks,detailed,"41,820"
"Human Resources Assistants, Except Payroll and Timekeeping",broad,"44,840"
"Human Resources Assistants, Except Payroll and Timekeeping",detailed,"44,840"
Receptionists and Information Clerks,broad,"32,910"
Receptionists and Information Clerks,detailed,"32,910"
Reservation and Transportation Ticket Agents and Travel Clerks,broad,"45,630"
Reservation and Transportation Ticket Agents and Travel Clerks,detailed,"45,630"
Miscellaneous Information and Record Clerks,broad,"43,950"
"Information and Record Clerks, All Other",detailed,"43,950"
"Material Recording, Scheduling, Dispatching, and Distributing Workers",minor,"45,710"
Cargo and Freight Agents,broad,"48,420"
Cargo and Freight Agents,detailed,"48,420"
Couriers and Messengers,broad,"34,270"
Couriers and Messengers,detailed,"34,270"
Dispatchers,broad,"46,780"
Public Safety Telecommunicators,detailed,"47,030"
"Dispatchers, Except Police, Fire, and Ambulance",detailed,"46,650"
"Meter Readers, Utilities",broad,"47,430"
"Meter Readers, Utilities",detailed,"47,430"
Postal Service Workers,broad,"53,480"
Postal Service Clerks,detailed,"53,210"
Postal Service Mail Carriers,detailed,"54,370"
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",detailed,"51,010"
"Production, Planning, and Expediting Clerks",broad,"52,220"
"Production, Planning, and Expediting Clerks",detailed,"52,220"
"Shipping, Receiving, and Inventory Clerks",broad,"38,210"
"Shipping, Receiving, and Inventory Clerks",detailed,"38,210"
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",broad,"39,540"
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",detailed,"39,540"
Secretaries and Administrative Assistants,minor,"45,250"
Secretaries and Administrative Assistants,broad,"45,250"
Executive Secretaries and Executive Administrative Assistants,detailed,"66,870"
Legal Secretaries and Administrative Assistants,detailed,"52,540"
Medical Secretaries and Administrative Assistants,detailed,"39,740"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,"41,080"
Other Office and Administrative Support Workers,minor,"39,480"
Data Entry and Information Processing Workers,broad,"37,590"
Data Entry Keyers,detailed,"35,940"
Word Processors and Typists,detailed,"43,370"
Desktop Publishers,broad,"50,930"
Desktop Publishers,detailed,"50,930"
Insurance Claims and Policy Processing Clerks,broad,"45,790"
Insurance Claims and Policy Processing Clerks,detailed,"45,790"
"Mail Clerks and Mail Machine Operators, Except Postal Service",broad,"34,390"
"Mail Clerks and Mail Machine Operators, Except Postal Service",detailed,"34,390"
"Office Clerks, General",broad,"38,990"
"Office Clerks, General",detailed,"38,990"
"Office Machine Operators, Except Computer",broad,"37,110"
"Office Machine Operators, Except Computer",detailed,"37,110"
Proofreaders and Copy Markers,broad,"46,010"
Proofreaders and Copy Markers,detailed,"46,010"
Statistical Assistants,broad,"53,420"
Statistical Assistants,detailed,"53,420"
Miscellaneous Office and Administrative Support Workers,broad,"42,580"
"Office and Administrative Support Workers, All Other",detailed,"42,580"
"Farming, Fishing, and Forestry Occupations",major,"34,730"
"Supervisors of Farming, Fishing, and Forestry Workers",minor,"54,450"
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",broad,"54,450"
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",detailed,"54,450"
Agricultural Workers,minor,"32,450"
Agricultural Inspectors,broad,"47,430"
Agricultural Inspectors,detailed,"47,430"
Animal Breeders,broad,"43,270"
Animal Breeders,detailed,"43,270"
"Graders and Sorters, Agricultural Products",broad,"30,400"
"Graders and Sorters, Agricultural Products",detailed,"30,400"
Miscellaneous Agricultural Workers,broad,"31,980"
Agricultural Equipment Operators,detailed,"36,280"
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",detailed,"31,440"
"Farmworkers, Farm, Ranch, and Aquacultural Animals",detailed,"32,150"
"Agricultural Workers, All Other",detailed,"37,190"
"Forest, Conservation, and Logging Workers",minor,"43,320"
Forest and Conservation Workers,broad,"33,690"
Forest and Conservation Workers,detailed,"33,690"
Logging Workers,broad,"45,000"
Fallers,detailed,"53,760"
Logging Equipment Operators,detailed,"43,960"
Log Graders and Scalers,detailed,"41,520"
"Logging Workers, All Other",detailed,"45,430"
Construction and Extraction Occupations,major,"55,900"
Supervisors of Construction and Extraction Workers,minor,"75,060"
First-Line Supervisors of Construction Trades and Extraction Workers,broad,"75,060"
First-Line Supervisors of Construction Trades and Extraction Workers,detailed,"75,060"
Construction Trades Workers,minor,"54,140"
Boilermakers,broad,"69,070"
Boilermakers,detailed,"69,070"
"Brickmasons, Blockmasons, and Stonemasons",broad,"59,870"
Brickmasons and Blockmasons,detailed,"61,430"
Stonemasons,detailed,"50,170"
Carpenters,broad,"55,190"
Carpenters,detailed,"55,190"
"Carpet, Floor, and Tile Installers and Finishers",broad,"51,890"
Carpet Installers,detailed,"48,710"
"Floor Layers, Except Carpet, Wood, and Hard Tiles",detailed,"53,880"
Floor Sanders and Finishers,detailed,"44,380"
Tile and Stone Setters,detailed,"53,330"
"Cement Masons, Concrete Finishers, and Terrazzo Workers",broad,"51,000"
Cement Masons and Concrete Finishers,detailed,"50,900"
Terrazzo Workers and Finishers,detailed,"58,380"
Construction Laborers,broad,"44,130"
Construction Laborers,detailed,"44,130"
Construction Equipment Operators,broad,"55,890"
"Paving, Surfacing, and Tamping Equipment Operators",detailed,"50,590"
Pile Driver Operators,detailed,"75,950"
Operating Engineers and Other Construction Equipment Operators,detailed,"56,280"
"Drywall Installers, Ceiling Tile Installers, and Tapers",broad,"56,160"
Drywall and Ceiling Tile Installers,detailed,"54,810"
Tapers,detailed,"65,140"
Electricians,broad,"63,310"
Electricians,detailed,"63,310"
Glaziers,broad,"51,950"
Glaziers,detailed,"51,950"
Insulation Workers,broad,"50,300"
"Insulation Workers, Floor, Ceiling, and Wall",detailed,"44,810"
"Insulation Workers, Mechanical",detailed,"56,260"
Painters and Paperhangers,broad,"47,180"
"Painters, Construction and Maintenance",detailed,"47,140"
Paperhangers,detailed,"51,560"
"Pipelayers, Plumbers, Pipefitters, and Steamfitters",broad,"62,250"
Pipelayers,detailed,"48,510"
"Plumbers, Pipefitters, and Steamfitters",detailed,"63,350"
Plasterers and Stucco Masons,broad,"54,810"
Plasterers and Stucco Masons,detailed,"54,810"
Reinforcing Iron and Rebar Workers,broad,"58,960"
Reinforcing Iron and Rebar Workers,detailed,"58,960"
Roofers,broad,"48,890"
Roofers,detailed,"48,890"
Sheet Metal Workers,broad,"58,760"
Sheet Metal Workers,detailed,"58,760"
Structural Iron and Steel Workers,broad,"61,270"
Structural Iron and Steel Workers,detailed,"61,270"
Solar Photovoltaic Installers,broad,"50,710"
Solar Photovoltaic Installers,detailed,"50,710"
"Helpers, Construction Trades",minor,"37,340"
"Helpers, Construction Trades",broad,"37,340"
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",detailed,"43,370"
Helpers--Carpenters,detailed,"37,340"
Helpers--Electricians,detailed,"36,720"
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",detailed,"35,270"
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",detailed,"36,350"
Helpers--Roofers,detailed,"36,000"
"Helpers, Construction Trades, All Other",detailed,"37,610"
Other Construction and Related Workers,minor,"54,670"
Construction and Building Inspectors,broad,"68,480"
Construction and Building Inspectors,detailed,"68,480"
Elevator and Escalator Installers and Repairers,broad,"91,320"
Elevator and Escalator Installers and Repairers,detailed,"91,320"
Fence Erectors,broad,"41,140"
Fence Erectors,detailed,"41,140"
Hazardous Materials Removal Workers,broad,"49,280"
Hazardous Materials Removal Workers,detailed,"49,280"
Highway Maintenance Workers,broad,"44,340"
Highway Maintenance Workers,detailed,"44,340"
Rail-Track Laying and Maintenance Equipment Operators,broad,"60,770"
Rail-Track Laying and Maintenance Equipment Operators,detailed,"60,770"
Septic Tank Servicers and Sewer Pipe Cleaners,broad,"45,390"
Septic Tank Servicers and Sewer Pipe Cleaners,detailed,"45,390"
Miscellaneous Construction and Related Workers,broad,"45,370"
Miscellaneous Construction and Related Workers,detailed,"45,370"
Extraction Workers,minor,"51,900"
"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas",broad,"56,460"
"Derrick Operators, Oil and Gas",detailed,"52,140"
"Rotary Drill Operators, Oil and Gas",detailed,"61,840"
"Service Unit Operators, Oil and Gas",detailed,"55,660"
Surface Mining Machine Operators and Earth Drillers,broad,"51,000"
"Excavating and Loading Machine and Dragline Operators, Surface Mining",detailed,"49,850"
"Earth Drillers, Except Oil and Gas",detailed,"53,600"
"Explosives Workers, Ordnance Handling Experts, and Blasters",broad,"57,070"
"Explosives Workers, Ordnance Handling Experts, and Blasters",detailed,"57,070"
Underground Mining Machine Operators,broad,"57,920"
Continuous Mining Machine Operators,detailed,"57,430"
"Roof Bolters, Mining",detailed,"59,170"
"Loading and Moving Machine Operators, Underground Mining",detailed,"57,330"
"Underground Mining Machine Operators, All Other",detailed,"60,290"
"Rock Splitters, Quarry",broad,"41,630"
"Rock Splitters, Quarry",detailed,"41,630"
"Roustabouts, Oil and Gas",broad,"44,730"
"Roustabouts, Oil and Gas",detailed,"44,730"
Helpers--Extraction Workers,broad,"40,860"
Helpers--Extraction Workers,detailed,"40,860"
Miscellaneous Extraction Workers,broad,"50,960"
"Extraction Workers, All Other",detailed,"50,960"
"Installation, Maintenance, and Repair Occupations",major,"53,380"
"Supervisors of Installation, Maintenance, and Repair Workers",minor,"73,590"
"First-Line Supervisors of Mechanics, Installers, and Repairers",broad,"73,590"
"First-Line Supervisors of Mechanics, Installers, and Repairers",detailed,"73,590"
"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",minor,"57,260"
"Computer, Automated Teller, and Office Machine Repairers",broad,"44,170"
"Computer, Automated Teller, and Office Machine Repairers",detailed,"44,170"
Radio and Telecommunications Equipment Installers and Repairers,broad,"60,510"
"Radio, Cellular, and Tower Equipment Installers and Repairers",detailed,"62,500"
"Telecommunications Equipment Installers and Repairers, Except Line Installers",detailed,"60,350"
"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",broad,"59,590"
Avionics Technicians,detailed,"69,860"
"Electric Motor, Power Tool, and Related Repairers",detailed,"48,740"
"Electrical and Electronics Installers and Repairers, Transportation Equipment",detailed,"70,650"
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",detailed,"64,230"
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",detailed,"87,640"
"Electronic Equipment Installers and Repairers, Motor Vehicles",detailed,"43,690"
Audiovisual Equipment Installers and Repairers,detailed,"46,120"
Security and Fire Alarm Systems Installers,detailed,"52,170"
"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",minor,"50,400"
Aircraft Mechanics and Service Technicians,broad,"69,470"
Aircraft Mechanics and Service Technicians,detailed,"69,470"
Automotive Technicians and Repairers,broad,"48,310"
Automotive Body and Related Repairers,detailed,"50,660"
Automotive Glass Installers and Repairers,detailed,"40,690"
Automotive Service Technicians and Mechanics,detailed,"47,990"
Bus and Truck Mechanics and Diesel Engine Specialists,broad,"53,020"
Bus and Truck Mechanics and Diesel Engine Specialists,detailed,"53,020"
Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,broad,"55,900"
Farm Equipment Mechanics and Service Technicians,detailed,"47,250"
"Mobile Heavy Equipment Mechanics, Except Engines",detailed,"57,280"
Rail Car Repairers,detailed,"60,400"
Small Engine Mechanics,broad,"42,690"
Motorboat Mechanics and Service Technicians,detailed,"46,660"
Motorcycle Mechanics,detailed,"41,970"
Outdoor Power Equipment and Other Small Engine Mechanics,detailed,"40,360"
"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",broad,"34,340"
Bicycle Repairers,detailed,"34,360"
Recreational Vehicle Service Technicians,detailed,"44,930"
Tire Repairers and Changers,detailed,"32,520"
"Other Installation, Maintenance, and Repair Occupations",minor,"50,730"
Control and Valve Installers and Repairers,broad,"59,860"
Mechanical Door Repairers,detailed,"45,520"
"Control and Valve Installers and Repairers, Except Mechanical Door",detailed,"67,310"
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",broad,"54,690"
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",detailed,"54,690"
Home Appliance Repairers,broad,"45,340"
Home Appliance Repairers,detailed,"45,340"
"Industrial Machinery Installation, Repair, and Maintenance Workers",broad,"58,350"
Industrial Machinery Mechanics,detailed,"58,780"
"Maintenance Workers, Machinery",detailed,"53,570"
Millwrights,detailed,"61,260"
"Refractory Materials Repairers, Except Brickmasons",detailed,"54,760"
Line Installers and Repairers,broad,"71,500"
Electrical Power-Line Installers and Repairers,detailed,"79,060"
Telecommunications Line Installers and Repairers,detailed,"62,250"
Precision Instrument and Equipment Repairers,broad,"54,870"
Camera and Photographic Equipment Repairers,detailed,"44,260"
Medical Equipment Repairers,detailed,"56,420"
Musical Instrument Repairers and Tuners,detailed,"39,740"
Watch and Clock Repairers,detailed,"45,460"
"Precision Instrument and Equipment Repairers, All Other",detailed,"59,070"
"Maintenance and Repair Workers, General",broad,"44,920"
"Maintenance and Repair Workers, General",detailed,"44,920"
Wind Turbine Service Technicians,broad,"58,580"
Wind Turbine Service Technicians,detailed,"58,580"
"Miscellaneous Installation, Maintenance, and Repair Workers",broad,"43,710"
"Coin, Vending, and Amusement Machine Servicers and Repairers",detailed,"42,010"
Commercial Divers,detailed,"82,010"
Locksmiths and Safe Repairers,detailed,"47,810"
Manufactured Building and Mobile Home Installers,detailed,"35,830"
Riggers,detailed,"52,100"
Signal and Track Switch Repairers,detailed,"74,220"
"Helpers--Installation, Maintenance, and Repair Workers",detailed,"35,090"
"Installation, Maintenance, and Repair Workers, All Other",detailed,"45,380"
Production Occupations,major,"43,070"
Supervisors of Production Workers,minor,"67,330"
First-Line Supervisors of Production and Operating Workers,broad,"67,330"
First-Line Supervisors of Production and Operating Workers,detailed,"67,330"
Assemblers and Fabricators,minor,"39,000"
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",broad,"55,380"
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",detailed,"55,380"
"Electrical, Electronics, and Electromechanical Assemblers",broad,"39,740"
"Coil Winders, Tapers, and Finishers",detailed,"42,460"
"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",detailed,"39,630"
Engine and Other Machine Assemblers,broad,"48,110"
